Id,Fecha,Estación,Tipo_Combustible,Litros_Vendidos,Precio_Unitario,Total_Venta,Tipo_Vehículo,Monto_Pagado,Método_Pago,Placa_Vehículo,Hora_Venta,Cliente_Frecuente
1,01-01-24,TEISA 1,Súper,15.31,3.1,47.46,Bus,47.46,Tarjeta,KLM-4321,17.0:13,No
2,01-01-24,TEISA 1,Diésel,72.14,1.8,129.85,Bus,129.86,Tarjeta,Unidad 303,18.0:26,Sí
3,01-01-24,TEISA 1,Súper,32.93,3.1,102.08,Bus,102.08,Efectivo,Unidad 202,19.0:47,Sí
4,01-01-24,TEISA 2,Diésel,40.91,1.8,73.64,SUV,73.63,Transferencia,XYZ-5678,18.0:57,No
5,01-01-24,TEISA 1,Diésel,16.1,1.8,28.98,Camioneta,28.98,Efectivo,KLM-4321,5.0:21,Sí
6,01-01-24,TEISA 1,Diésel,36.28,1.8,65.3,SUV,65.3,Transferencia,KLM-4321,14.0:41,No
7,01-01-24,TEISA 1,Súper,42.87,3.1,132.9,Bus,132.89,Tarjeta,Unidad 404,0.0:22,Sí
8,01-01-24,TEISA 1,Extra,78.33,2.4,187.99,Bus,187.99,Tarjeta,Unidad 101,5.0000000,Sí
9,01-02-24,TEISA 1,Súper,16.34,3.1,50.65,Camioneta,50.65,Efectivo,KLM-4321,6.0:46,Sí
10,01-02-24,TEISA 1,Súper,61.08,3.1,189.35,Bus,189.36,Tarjeta,Unidad 202,17.0:42,Sí
11,01-02-24,TEISA 1,Extra,23.06,2.4,55.34,SUV,55.35,Efectivo,TUV-8765,18.0000000,Sí
12,01-02-24,TEISA 1,Diésel,22.17,1.8,39.91,Camioneta,39.9,Efectivo,ABC-1234,20.0000000,No
13,01-02-24,TEISA 1,Súper,58.21,3.1,180.45,Bus,180.46,Efectivo,Unidad 101,5.0:19,Sí
14,01-02-24,TEISA 1,Súper,20.27,3.1,62.84,Motocicleta,62.84,Tarjeta,KLM-4321,13.0:29,Sí
15,01-02-24,TEISA 2,Extra,5.36,2.4,12.86,Camioneta,12.87,Efectivo,KLM-4321,19.0:47,Sí
16,01-03-24,TEISA 1,Diésel,39.54,1.8,71.17,Bus,71.17,Transferencia,KLM-4321,19.000007,Sí
17,01-03-24,TEISA 2,Extra,7.49,2.4,17.98,Camioneta,17.97,Efectivo,XYZ-5678,21.0:39,Sí
18,01-03-24,TEISA 1,Extra,74.52,2.4,178.85,Bus,178.84,Tarjeta,Unidad 202,6.000003,Sí
19,01-03-24,TEISA 1,Extra,53.45,2.4,128.28,Bus,128.29,Efectivo,Unidad 404,7.000006,Sí
20,01-03-24,TEISA 2,Extra,46.11,2.4,110.66,Bus,110.66,Efectivo,Unidad 303,8.0:53,Sí
21,01-03-24,TEISA 1,Diésel,64.35,1.8,115.83,Bus,115.83,Transferencia,Unidad 101,7.0:38,Sí
22,01-03-24,TEISA 1,Diésel,99.67,1.8,179.41,Bus,179.4,Tarjeta,Unidad 202,5.0:49,Sí
23,01-03-24,TEISA 1,Súper,50.33,3.1,156.02,Bus,156.03,Tarjeta,Unidad 202,16.000005,Sí
24,01-04-24,TEISA 1,Extra,7.68,2.4,18.43,Motocicleta,18.44,Efectivo,KLM-4321,16.0:13,No
25,01-04-24,TEISA 1,Extra,51.8,2.4,124.32,Bus,124.31,Transferencia,Unidad 303,18.000005,Sí
26,01-04-24,TEISA 1,Extra,61.11,2.4,146.66,Bus,146.67,Tarjeta,Unidad 101,14.000006,Sí
27,01-04-24,TEISA 1,Diésel,42.49,1.8,76.48,Camioneta,76.48,Efectivo,TUV-8765,9.0:49,Sí
28,01-04-24,TEISA 2,Diésel,20.36,1.8,36.65,Sedán,36.64,Efectivo,TUV-8765,0.0:22,Sí
29,01-05-24,TEISA 1,Extra,6.35,2.4,15.24,Camioneta,15.24,Efectivo,ABC-1234,17.0:25,No
30,01-05-24,TEISA 1,Súper,5.76,3.1,17.86,SUV,17.86,Efectivo,TUV-8765,0.0:22,Sí
31,01-05-24,TEISA 1,Diésel,41.68,1.8,75.02,Sedán,75.03,Tarjeta,TUV-8765,17.0:26,Sí
32,01-05-24,TEISA 1,Extra,25.62,2.4,61.49,Bus,61.5,Efectivo,ABC-1234,15.0:21,No
33,01-05-24,TEISA 1,Diésel,15.36,1.8,27.65,Bus,27.65,Efectivo,TUV-8765,8.0:17,No
34,01-06-24,TEISA 1,Diésel,61.53,1.8,110.75,Bus,110.75,Tarjeta,Unidad 101,17.0:28,Sí
35,01-06-24,TEISA 1,Extra,43.07,2.4,103.37,Bus,103.36,Tarjeta,Unidad 303,14.0:32,Sí
36,01-06-24,TEISA 1,Diésel,7.09,1.8,12.76,Bus,12.77,Transferencia,XYZ-5678,19.0:37,Sí
37,01-06-24,TEISA 2,Diésel,65.32,1.8,117.58,Bus,117.57,Tarjeta,Unidad 404,18.0:15,Sí
38,01-06-24,TEISA 1,Súper,19.3,3.1,59.83,SUV,59.82,Tarjeta,XYZ-5678,6.0:49,Sí
39,01-07-24,TEISA 1,Diésel,58.21,1.8,104.78,Bus,104.78,Transferencia,Unidad 303,5.0:17,Sí
40,01-07-24,TEISA 1,Súper,36.88,3.1,114.33,Bus,114.33,Transferencia,Unidad 101,9.0000000,Sí
41,01-07-24,TEISA 1,Diésel,38.13,1.8,68.63,Camioneta,68.63,Efectivo,TUV-8765,16.0000000,No
42,01-07-24,TEISA 1,Súper,18.06,3.1,55.99,Motocicleta,56.0,Tarjeta,XYZ-5678,12.0:12,Sí
43,01-08-24,TEISA 1,Súper,9.55,3.1,29.61,Motocicleta,29.62,Transferencia,KLM-4321,19.0000000,Sí
44,01-08-24,TEISA 1,Extra,14.76,2.4,35.42,Bus,35.42,Tarjeta,ABC-1234,16.0:32,No
45,01-08-24,TEISA 1,Súper,15.78,3.1,48.92,SUV,48.93,Tarjeta,XYZ-5678,16.0:26,Sí
46,01-08-24,TEISA 1,Súper,33.72,3.1,104.53,Bus,104.53,Tarjeta,Unidad 101,12.0:51,Sí
47,01-08-24,TEISA 2,Diésel,6.91,1.8,12.44,Motocicleta,12.43,Tarjeta,ABC-1234,18.0:57,No
48,01-09-24,TEISA 1,Extra,30.66,2.4,73.58,Motocicleta,73.59,Efectivo,XYZ-5678,20.0:56,No
49,01-09-24,TEISA 1,Diésel,8.11,1.8,14.6,Sedán,14.6,Tarjeta,XYZ-5678,17.0:42,Sí
50,01-09-24,TEISA 1,Súper,48.89,3.1,151.56,Bus,151.55,Transferencia,Unidad 303,12.0:21,Sí
51,01-09-24,TEISA 1,Súper,4.18,3.1,12.96,Camioneta,12.95,Tarjeta,XYZ-5678,13.0:34,No
52,01-09-24,TEISA 2,Extra,79.22,2.4,190.13,Bus,190.13,Efectivo,Unidad 303,12.0:23,Sí
53,01-10-24,TEISA 1,Diésel,96.99,1.8,174.58,Bus,174.58,Transferencia,Unidad 101,18.000009,Sí
54,01-10-24,TEISA 1,Extra,42.67,2.4,102.41,Bus,102.4,Tarjeta,Unidad 202,17.0:55,Sí
55,01-10-24,TEISA 1,Extra,22.54,2.4,54.1,Motocicleta,54.09,Transferencia,KLM-4321,20.0:57,Sí
56,01-10-24,TEISA 1,Diésel,37.09,1.8,66.76,SUV,66.77,Transferencia,TUV-8765,21.000006,Sí
57,01-10-24,TEISA 1,Súper,8.3,3.1,25.73,Sedán,25.72,Efectivo,KLM-4321,16.0:11,Sí
58,01-11-24,TEISA 1,Súper,7.24,3.1,22.44,SUV,22.43,Transferencia,ABC-1234,19.0:37,No
59,01-11-24,TEISA 1,Diésel,33.81,1.8,60.86,SUV,60.85,Efectivo,KLM-4321,6.0:17,No
60,01-11-24,TEISA 1,Diésel,13.84,1.8,24.91,SUV,24.91,Efectivo,KLM-4321,15.0:32,Sí
61,01-11-24,TEISA 1,Súper,10.19,3.1,31.59,Camioneta,31.59,Tarjeta,KLM-4321,19.0:51,Sí
62,01-11-24,TEISA 1,Súper,50.59,3.1,156.83,Bus,156.83,Transferencia,Unidad 202,18.0000000,Sí
63,01-11-24,TEISA 1,Extra,82.49,2.4,197.98,Bus,197.97,Efectivo,Unidad 101,5.0:39,Sí
64,01-12-24,TEISA 1,Diésel,13.21,1.8,23.78,Sedán,23.77,Tarjeta,ABC-1234,9.0:44,Sí
65,01-12-24,TEISA 1,Extra,73.16,2.4,175.58,Bus,175.58,Transferencia,Unidad 101,12.0:27,Sí
66,01-12-24,TEISA 1,Súper,9.56,3.1,29.64,SUV,29.64,Transferencia,KLM-4321,10.0:35,No
67,01-12-24,TEISA 1,Súper,13.83,3.1,42.87,Bus,42.87,Tarjeta,TUV-8765,0.0:22,No
68,01-13-24,TEISA 1,Extra,10.34,2.4,24.82,Camioneta,24.81,Tarjeta,KLM-4321,8.0:45,No
69,01-13-24,TEISA 1,Extra,21.61,2.4,51.86,Motocicleta,51.86,Transferencia,TUV-8765,21.000008,Sí
70,01-13-24,TEISA 2,Diésel,11.67,1.8,21.01,Sedán,21.01,Transferencia,XYZ-5678,19.0:41,Sí
71,01-13-24,TEISA 1,Súper,50.02,3.1,155.06,Bus,155.07,Tarjeta,Unidad 101,9.0:19,Sí
72,01-13-24,TEISA 1,Diésel,89.53,1.8,161.15,Bus,161.16,Tarjeta,Unidad 202,8.0:42,Sí
73,01-14-24,TEISA 1,Diésel,13.86,1.8,24.95,Camioneta,24.95,Efectivo,KLM-4321,11.0:42,Sí
74,01-14-24,TEISA 1,Diésel,83.67,1.8,150.61,Bus,150.6,Efectivo,Unidad 202,20.0:24,Sí
75,01-14-24,TEISA 1,Extra,77.75,2.4,186.6,Bus,186.6,Tarjeta,Unidad 101,10.0:37,Sí
76,01-14-24,TEISA 1,Súper,18.83,3.1,58.37,Motocicleta,58.37,Transferencia,KLM-4321,8.0:16,No
77,01-14-24,TEISA 1,Diésel,35.6,1.8,64.08,Bus,64.08,Transferencia,XYZ-5678,14.0:41,No
78,01-14-24,TEISA 1,Diésel,42.56,1.8,76.61,Motocicleta,76.6,Transferencia,XYZ-5678,8.0000000,No
79,01-14-24,TEISA 2,Diésel,18.54,1.8,33.37,Sedán,33.38,Efectivo,ABC-1234,0.0:22,No
80,01-14-24,TEISA 1,Extra,29.46,2.4,70.7,Camioneta,70.71,Tarjeta,KLM-4321,11.0:35,No
81,01-15-24,TEISA 1,Súper,58.45,3.1,181.2,Bus,181.21,Tarjeta,Unidad 202,7.0:29,Sí
82,01-15-24,TEISA 1,Extra,10.59,2.4,25.42,Sedán,25.42,Tarjeta,XYZ-5678,17.0:14,Sí
83,01-15-24,TEISA 1,Diésel,83.73,1.8,150.71,Bus,150.71,Tarjeta,Unidad 101,13.0:53,Sí
84,01-15-24,TEISA 2,Súper,9.79,3.1,30.35,Bus,30.34,Transferencia,KLM-4321,17.0:19,No
85,01-15-24,TEISA 1,Diésel,97.47,1.8,175.45,Bus,175.45,Transferencia,Unidad 202,8.000005,Sí
86,01-15-24,TEISA 1,Diésel,98.95,1.8,178.11,Bus,178.11,Efectivo,Unidad 101,14.0:33,Sí
87,01-16-24,TEISA 1,Diésel,43.86,1.8,78.95,SUV,78.95,Efectivo,ABC-1234,12.000004,Sí
